医生编号	医生姓名	科室编号	职称等级
D100	医生100	DEPT05	2
D099	医生099	DEPT04	3
D098	医生098	DEPT03	4
D097	医生097	DEPT02	1
D096	医生096	DEPT01	2
D095	医生095	DEPT05	3
D094	医生094	DEPT04	4
D093	医生093	DEPT03	2
D092	医生092	DEPT02	3
D091	医生091	DEPT01	4
D090	医生090	DEPT05	1
D089	医生089	DEPT04	2
D088	医生088	DEPT03	3
D087	医生087	DEPT02	4
D086	医生086	DEPT01	2
D085	医生085	DEPT05	3
D084	医生084	DEPT04	4
D083	医生083	DEPT03	1
D082	医生082	DEPT02	2
D081	医生081	DEPT01	3
D080	医生080	DEPT05	4
D079	医生079	DEPT04	2
D078	医生078	DEPT03	3
D077	医生077	DEPT02	4
D076	医生076	DEPT01	1
D075	医生075	DEPT05	2
D074	医生074	DEPT04	3
D073	医生073	DEPT03	4
D072	医生072	DEPT02	2
D071	医生071	DEPT01	3
D070	医生070	DEPT05	4
D069	医生069	DEPT04	1
D068	医生068	DEPT03	2
D067	医生067	DEPT02	3
D066	医生066	DEPT01	4
D065	医生065	DEPT05	2
D064	医生064	DEPT04	3
D063	医生063	DEPT03	4
D062	医生062	DEPT02	1
D061	医生061	DEPT01	2
D060	医生060	DEPT05	3
D059	医生059	DEPT04	4
D058	医生058	DEPT03	2
D057	医生057	DEPT02	3
D056	医生056	DEPT01	4
D055	医生055	DEPT05	1
D054	医生054	DEPT04	2
D053	医生053	DEPT03	3
D052	医生052	DEPT02	4
D051	医生051	DEPT01	2
D050	医生050	DEPT05	3
D049	医生049	DEPT04	4
D048	医生048	DEPT03	1
D047	医生047	DEPT02	2
D046	医生046	DEPT01	3
D045	医生045	DEPT05	4
D044	医生044	DEPT04	2
D043	医生043	DEPT03	3
D042	医生042	DEPT02	4
D041	医生041	DEPT01	1
D040	医生040	DEPT05	2
D039	医生039	DEPT05	3
D038	医生038	DEPT04	4
D037	医生037	DEPT04	2
D036	医生036	DEPT03	3
D035	医生035	DEPT03	4
D034	医生034	DEPT02	1
D033	医生033	DEPT02	2
D032	医生032	DEPT01	3
D031	医生031	DEPT01	4
D030	医生030	DEPT01	2
D029	医生029	DEPT04	4
D028	医生028	DEPT03	3
D027	医生027	DEPT02	2
D026	医生026	DEPT01	4
D025	医生025	DEPT05	3
D024	医生024	DEPT04	1
D023	医生023	DEPT03	4
D022	医生022	DEPT02	2
D021	医生021	DEPT01	3
D020	医生020	DEPT05	1
D019	医生019	DEPT05	2
D018	医生018	DEPT05	3
D017	医生017	DEPT05	4
D016	医生016	DEPT04	1
D015	医生015	DEPT04	3
D014	医生014	DEPT04	4
D013	医生013	DEPT04	2
D012	医生012	DEPT03	1
D011	医生011	DEPT03	2
D010	医生010	DEPT03	3
D009	医生009	DEPT03	4
D008	医生008	DEPT02	1
D007	医生007	DEPT02	2
D006	医生006	DEPT02	3
D005	医生005	DEPT02	4
D004	医生004	DEPT01	1
D003	医生003	DEPT01	2
D002	医生002	DEPT01	3
D001	董恩熙	DEPT01	4
D101	王天爱	DEPT01	4
